PROPIEDAD,TIPO DE VEHICULO ,MARCA,NOMBRE,
Linea,AUTOMOVIL,ASTON MARTIN,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,AUTOMOVIL,ASTON MARTIN,V8 ADVANTAGE,
Linea,AUTOMOVIL,ASTON MARTIN,VANQUISH,
Linea,CAMION,ASTRA,BM 201,
Linea,CAMION,ASTRA,"LINEAS Y CILINDRAJES NO INCLUIDOS
 ANTERIORES A 1997",
Linea,VOLQUETA,ASTRA,BM 201,
Linea,MOTOCICLETA,ATM,NINJA 185 MT,
Linea,MOTOCICLETA,ATM,TOP WIND,
Linea,MOTOCICLETA,ATM,XTREME XB,
Linea,MOTOCICLETA,ATM,XZ 125 MT,
Linea,CUATRIMOTO,ATV,ATV 150HM,
Linea,CUATRIMOTO,ATV,ATV 200,
Linea,CUATRIMOTO,ATV,ATV 250,
Linea,CUATRIMOTO,ATV,ATV 750,
Linea,CUATRIMOTO,ATV,JLA 13 1 01,
Linea,CUATRIMOTO,ATV,LMATV-125E,
Linea,CUATRIMOTO,ATV,MST 150-A,
Linea,CUATRIMOTO,ATV,VL 250 ST,
Linea,CUATRIMOTO,ATV,VL650 ST-4D,
Linea,CUATRIMOTO,ATV,YJ 150,
Linea,CUATRIMOTO,ATV,YJ 50D,
Linea,CUATRIMOTO,ATV,YJ-50G,
Linea,MOTOCICLETA,ATV,WZGC2503,
Linea,CUATRIMOTO,ATV RACING,150CCA,
Linea,CUATRIMOTO,ATV RACING,300D,
Linea,CUATRIMOTO,ATV RACING,FXATV 150FTW,
Linea,CUATRIMOTO,ATV RACING,HDXY 500 ATV-2,
Linea,CUATRIMOTO,ATV RACING,YJ-400A,
Linea,CUATRIMOTO,ATV RATO,RT250ST,
Linea,AUTOMOVIL,AUDI,100 C3 2.3 AT,
Linea,AUTOMOVIL,AUDI,100 C4 2.8 V6 MT,
Linea,AUTOMOVIL,AUDI,80 B3 1.8 QUATTRO MT,
Linea,AUTOMOVIL,AUDI,80 B4 2.0 MT,
Linea,AUTOMOVIL,AUDI,80 B4 2.8 V6 AT,
Linea,AUTOMOVIL,AUDI,90 B3 QUATTRO MT,
Linea,AUTOMOVIL,AUDI,A1 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A1 8X 1.4 TFSI AMBITION TP,
Linea,AUTOMOVIL,AUDI,A1 8X 1.4 TFSI LUXURY TP,
Linea,AUTOMOVIL,AUDI,A1 8X 1.4 TFSITRACTION TP,
Linea,AUTOMOVIL,AUDI,"A1 SPORTBACK 8X 1.4 TFSI AMBITION PLUS
 TP",
Linea,AUTOMOVIL,AUDI,A3 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A3 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A3 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A3 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A3 8L 1.6 COUPE 3P MT,
Linea,AUTOMOVIL,AUDI,A3 8L 1.6 HB 5P MT,
Linea,AUTOMOVIL,AUDI,A3 8L 1.6 HB TP,
Linea,AUTOMOVIL,AUDI,A3 8L 1.8 COUPE 3P AT,
Linea,AUTOMOVIL,AUDI,A3 8L 1.8 COUPE 3P MT,
Linea,AUTOMOVIL,AUDI,A3 8L 1.8T COUPE 3P AT,
Linea,AUTOMOVIL,AUDI,A3 8L 1.8T COUPE 3P MT,
Linea,AUTOMOVIL,AUDI,A3 8L 1.8T HB 5P AT,
Linea,AUTOMOVIL,AUDI,A3 8L 1.8T HB 5P MT,
Linea,AUTOMOVIL,AUDI,A3 8P 1.6 COUPE 3P MT,
Linea,AUTOMOVIL,AUDI,A3 8P COUPE 1.8 TFSI MT,
Linea,AUTOMOVIL,AUDI,A3 8P COUPE 1.8 TFSI TP,
Linea,AUTOMOVIL,AUDI,A3 8P COUPE 2.0 FSI 3P MT,
Linea,AUTOMOVIL,AUDI,A3 8P COUPE 2.0 FSI 3P TP,
Linea,AUTOMOVIL,AUDI,A3 8P COUPE 2.0 TFSI MT,
Linea,AUTOMOVIL,AUDI,A3 8P COUPE 2.0 TFSI TP,
Linea,AUTOMOVIL,AUDI,A3 8P COUPE S-TRONIC QUATTRO 3P TP,
Linea,AUTOMOVIL,AUDI,A3 8P SPORTBACK 1.4 TFSI TP,
Linea,AUTOMOVIL,AUDI,A3 8P SPORTBACK 1.6 5P AT,
Linea,AUTOMOVIL,AUDI,A3 8P SPORTBACK 1.6 5P MT,
Linea,AUTOMOVIL,AUDI,A3 8P SPORTBACK 1.8 TFSI MT,
Linea,AUTOMOVIL,AUDI,A3 8P SPORTBACK 1.8 TFSI TP,
Linea,AUTOMOVIL,AUDI,A3 8P SPORTBACK 2.0 FSI 5P MT,
Linea,AUTOMOVIL,AUDI,A3 8P SPORTBACK 2.0 FSI 5P TP,
Linea,AUTOMOVIL,AUDI,A3 8P SPORTBACK 2.0 TFSI 5P TP,
Linea,AUTOMOVIL,AUDI,"A3 8P SPORTBACK S-TRONIC QUATTRO 5P
 TP",
Linea,AUTOMOVIL,AUDI,A3 8V COUPE AMBITION S LINE TP,
Linea,AUTOMOVIL,AUDI,A3 8V COUPETRACTION MT,
Linea,AUTOMOVIL,AUDI,A3 8V COUPETRACTION TP,
Linea,AUTOMOVIL,AUDI,A3 8V COUPETRACTION TP,
Linea,AUTOMOVIL,AUDI,A3 8V SEDAN 1.2 AMBITION TP,
Linea,AUTOMOVIL,AUDI,A3 8V SEDAN 1.8 TFSI AMBITION TP,
Linea,AUTOMOVIL,AUDI,A3 8V SEDAN 1.8 TFSITRACTION MT,
Linea,AUTOMOVIL,AUDI,A3 8V SEDAN 1.8 TFSITRACTION TP,
Linea,AUTOMOVIL,AUDI,A3 8V SEDAN 2.0 AMBITION TP,
Linea,AUTOMOVIL,AUDI,A3 8V SPORTBACK 1.2 AMBITION TP,
Linea,AUTOMOVIL,AUDI,A3 8V SPORTBACK AMBITION TP,
Linea,AUTOMOVIL,AUDI,A3 8V SPORTBACKTRACTION MT,
Linea,AUTOMOVIL,AUDI,A3 8V SPORTBACKTRACTION MT,
Linea,AUTOMOVIL,AUDI,A3 8V SPORTBACKTRACTION TP,
Linea,AUTOMOVIL,AUDI,A3 FSI DSG,
Linea,AUTOMOVIL,AUDI,A4,
Linea,AUTOMOVIL,AUDI,A4 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A4 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A4 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A4 (LINEA BASE ESTANDAR),
Linea,AUTOMOVIL,AUDI,A4 2.0 TFSI AMBITION,
Linea,AUTOMOVIL,AUDI,A4 2.0 TFSI ST AMBITION,
Linea,AUTOMOVIL,AUDI,A4 B5 1.8 AT,
Linea,AUTOMOVIL,AUDI,A4 B5 1.8 MT,
Linea,AUTOMOVIL,AUDI,A4 B5 1.8T AT,
Linea,AUTOMOVIL,AUDI,A4 B5 1.8T MT,
Linea,AUTOMOVIL,AUDI,A4 B5 2.8 V6 AT,
Linea,AUTOMOVIL,AUDI,A4 B5 2.8 V6 MT,
Linea,AUTOMOVIL,AUDI,A4 B5 2.8 V6 TP,
Linea,AUTOMOVIL,AUDI,A4 B6 1.8T MT,
Linea,AUTOMOVIL,AUDI,A4 B6 1.8T TP,
Linea,AUTOMOVIL,AUDI,A4 B6 2.0 MT,
Linea,AUTOMOVIL,AUDI,A4 B6 2.0 MULTITRONIC TP,
Linea,AUTOMOVIL,AUDI,A4 B6 2.4 AVANT V6 TP,
Linea,AUTOMOVIL,AUDI,A4 B6 2.4 V6 TP,
Linea,AUTOMOVIL,AUDI,A4 B6 3.0 CABRIOLET MT,
Linea,AUTOMOVIL,AUDI,A4 B6 3.0 CABRIOLET TP,
Linea,AUTOMOVIL,AUDI,A4 B6 3.0 MT,
Linea,AUTOMOVIL,AUDI,A4 B6 3.0 MULTITRONIC TP,
Linea,AUTOMOVIL,AUDI,A4 B6 3.0 TRIPTRONIC QUATTRO TP,
Linea,AUTOMOVIL,AUDI,A4 B7 1.8T AVANT LUXURY TP,
